2035,10
2026,15
2096,21
2155,2
2192,20
2152,33
2050,9
2032,18
2090,21
2142,-6
2184,6
2146,14
2058,5
2050,29
2112,43
2180,33
2218,37
2171,33
2064,7
2058,36
2112,42
2170,21
2184,2
2160,19
2066,2
2006,-18
2018,-39
2074,-57
2100,-73
2088,-58
2000,-73
1934,-88
1954,-88
2022,-91
2064,-100
2032,-111
1970,-100
1898,-115
1946,-83
2018,-82
2070,-84
2056,-79
1974,-87
1934,-67
2000,-20
2070,-24
2132,-16
2122,-8
2064,5
1984,-15
2002,-5
2054,-22
2139,0
2163,24
2098,25
2032,30
2024,27
2078,18
2154,25
2208,64
2130,43
2056,48
2042,53
2107,59
2194,67
2202,53
2138,47
2026,20
2026,44
2102,59
2178,50
2186,36
2146,54
2066,56
2026,45
2050,20
2112,3
2152,8
2112,9
2018,-4
1962,-20
2026,3
2102,-6
2155,1
2154,32
2064,22
2002,10
2056,33
2154,42
2186,18
2170,29
2035,-19
2003,5
2042,10
2115,-5
2138,-37
2126,-22
2042,-24
1978,-30
1986,-43
2054,-52
2106,-61
2078,-72
1995,-77
1915,-91
1920,-95
1974,-113
2054,-99
2096,-56
2006,-73
1976,-30
2020,12
2118,37
2194,44
2218,68
2222,134
2182,159
2230,208
2346,256
2410,250
2488,317
2496,371
2386,325
2354,313
2354,264
2344,185
2264,84
2122,-8
1920,-138
1786,-243
1734,-336
1754,-388
1760,-415
1732,-404
1698,-364
1708,-314
1802,-250
1952,-169
2042,-115
2067,-53
2067,17
2088,77
2226,178
2243,127
2331,183
2298,177
2202,147
2090,79
2068,36
2122,17
2146,-12
2136,-9
2040,-38
2002,-22
2035,-5
2144,27
2178,3
2154,-4
2074,-12
2005,-25
2027,-19
2120,-4
2176,-10
2154,-17
2096,0
1996,-34
2002,-31
2034,-66
2107,-56
2114,-46
2074,-16
1978,-35
1943,-48
2011,-31
2091,-21
2134,7
2086,19
1982,0
1992,38
2066,51
2141,40
2130,2
2091,13
2032,22
2016,22
2104,47
2147,8
2192,25
2144,23
